,0,1,2
date,20143889.374817856,20143908.083403822,20144181.965231787
price,374985.6023976698,809483.9524615154,2030683.3443708587
bedrooms,3.1937342694396698,3.735577736423624,4.178807947019867
bathrooms,1.9026692277122719,2.5175943156826195,3.4739238410596034
sqft_living,1737.757517551989,2723.613940111652,4332.662251655626
sqft_lot,12783.182342032062,19678.579597360884,28454.170529801337
floors,1.4097562591071668,1.6725596345795979,1.8634105960264902
waterfront,0.0013909127036692264,0.0104889189646422,0.13245033112582777
view,0.09650284805935097,0.45339198105227835,1.53476821192053
condition,3.3876010067558626,3.4574522077482666,3.4850993377483444
grade,7.212875877599676,8.525122652681436,10.258278145695362
yr_built,1970.338322956683,1972.2884452715277,1975.114238410596
yr_renovated,58.59484699960264,129.53341228218582,287.8294701986755
