date,value
1996-02-29,639.25
1996-03-31,301.25
1996-04-30,780.5
1996-05-31,1081.75
1996-06-30,1520.375
1996-07-31,1851.875
1996-08-31,1839.5
1996-09-30,1584.75
1996-10-31,1537.125
1996-11-30,1783.75
1996-12-31,2326.625
1997-01-31,1776.0
1997-02-28,1041.875
1997-03-31,1291.0
1997-04-30,1918.25
1997-05-31,1725.875
1997-06-30,591.125
1997-07-31,-5176.674999999988
1997-08-31,-6424.1090909091
1997-09-30,331.4545454545296
1997-10-31,630.363636363647
1997-11-30,291.4545454545587
1997-12-31,-4.27272727273521
1998-01-31,384.36363636364695
1998-02-28,1040.272727272706
1998-03-31,598.2727272727352
1998-04-30,216.45454545455868
1998-05-31,-200.36363636364695
1998-06-30,-8125.424242424255
1998-07-31,611.5
1998-08-31,779.833333333343
1998-09-30,497.5
1998-10-31,160.08333333334303
1998-11-30,384.08333333331393
1998-12-31,-168.91666666665697
1999-01-31,-6148.057692307688
1999-02-28,184.15384615384392
1999-03-31,1099.2307692307804
1999-04-30,756.6153846153757
1999-05-31,788.8461538461561
1999-06-30,542.7692307692196
1999-07-31,596.3076923076878
1999-08-31,575.5384615384683
1999-09-30,525.5384615384683
1999-10-31,540.4615384615317
1999-11-30,508.69230769231217
1999-12-31,542.7692307692196
2000-01-31,-3989.522095210821
2000-02-29,209.52077411208302
2000-03-31,181.1272459437314
2000-04-30,489.37915212329244
2000-05-31,418.37780799591565
2000-06-30,525.1622412040306
2000-07-31,396.5631711173046
2000-08-31,652.2110577871499
2000-09-30,473.5057264782372
2000-10-31,489.8876867121144
2000-11-30,140.76773920032429
2000-12-31,540.3812921483186
2001-01-31,269.5685169705248
2001-02-28,289.1801844826259
2001-03-31,-327.6558465844719
2001-04-30,-2.4546795951609965
2001-05-31,0.16534457469242625
2001-06-30,404.1625155459333
2001-07-31,2100.6144752688124
2001-08-31,624.2569675504637
2001-09-30,652.2799425592239
2001-10-31,588.7661113950599
2001-11-30,311.4927873425768
2001-12-31,454.19093693001196
2002-01-31,168.39153814158635
2002-02-28,236.88030288051232
2002-03-31,41.078690743859624
2002-04-30,222.6666952757514
2002-05-31,132.52006518375129
2002-06-30,167.8742868755944
2002-07-31,462.97929169095005
2002-08-31,352.18264063834795
2002-09-30,338.1333990126441
2002-10-31,127.72405650280416
2002-11-30,389.990472308069
2002-12-31,540.5314875379845
2003-01-31,266.4252446528408
2003-02-28,147.89835157556809
2003-03-31,48.01033075977466
2003-04-30,533.771094773896
2003-05-31,747.8957656003477
2003-06-30,859.2132517112186
2003-07-31,948.2923036634747
2003-08-31,1337.1976124278444
2003-09-30,1434.7629723752034
2003-10-31,1661.8470921030676
2003-11-30,1436.5283391455596
2003-12-31,1359.3317327926052
2004-01-31,916.3017892411735
2004-02-29,942.7438483474543
2004-03-31,1015.4154939972505
2004-04-30,1411.2489079812076
2004-05-31,1267.2052282571385
2004-06-30,1495.6408374705352
2004-07-31,1770.7089831430058
2004-08-31,2138.0516570826876
2004-09-30,1878.7718860402529
2004-10-31,1542.060676694382
2004-11-30,1484.8914516580699
2004-12-31,1810.8432464098441
2005-01-31,-16321.785328874597
2005-02-28,-434.08940666358103
2005-03-31,-6945.691593858181
2005-04-30,-1172.1210819757835
2005-05-31,3769.5751690388715
2005-06-30,4987.034235190047
2005-07-31,525.0335239091946
2005-08-31,2918.7305676086107
2005-09-30,2941.8218274576648
2005-10-31,2913.8458514149534
2005-11-30,2676.243548106315
2005-12-31,2582.4372427243798
2006-01-31,2426.355405325303
2006-02-28,2469.518633430358
2006-03-31,2145.6020672933373
2006-04-30,2292.266509086243
2006-05-31,2215.2709163640975
2006-06-30,2209.0201732109126
2006-07-31,1731.1707117753685
2006-08-31,1488.6997567119834
2006-09-30,1431.4551755489956
2006-10-31,1274.6093697200122
2006-11-30,1133.0615730630525
2006-12-31,1130.7092433490325
2007-01-31,1365.602643405029
2007-02-28,1299.4811010118865
2007-03-31,1458.1009444480587
2007-04-30,1541.5480677055602
2007-05-31,1411.529045405594
2007-06-30,1274.9134265204193
2007-07-31,1132.607249274297
2007-08-31,1122.20744541951
2007-09-30,1100.2947179959447
2007-10-31,751.6673939573229
2007-11-30,626.0318992283428
2007-12-31,-4288.283118823747
2008-01-31,-230.70609039682313
2008-02-29,-346.27541706955526
2008-03-31,-360.6934681144485
2008-04-30,-745.0786997990217
2008-05-31,-869.5756947061745
2008-06-30,-1259.0570097256277
2008-07-31,-1020.7815440615232
2008-08-31,-1433.377990043984
2008-09-30,-1579.4263699217117
2008-10-31,-4877.240407271398
2008-11-30,-1761.3020255091833
2008-12-31,-1854.9710721725714
2009-01-31,-3250.5166221061954
2009-02-28,-968.838410624041
2009-03-31,-1844.2684909655072
2009-04-30,-1231.839137332223
2009-05-31,-1610.9588833712041
2009-06-30,-1834.8711038762412
2009-07-31,-1759.5827644933015
2009-08-31,-1260.9872455816367
2009-09-30,-703.0668059326999
2009-10-31,-309.7546771520865
2009-11-30,-333.20132656852365
2009-12-31,-96.05649526728666
2010-01-31,-116.80011440304224
2010-02-28,-302.5918845728447
2010-03-31,-447.48318226489937
2010-04-30,-160.50403569467016
2010-05-31,-128.31153150327737
2010-06-30,-102.34193634201074
2010-07-31,-612.0713934318628
2010-08-31,-687.8258758644806
2010-09-30,-997.5533661416848
2010-10-31,-867.4746099541662
2010-11-30,-809.4078515117872
2010-12-31,-1021.8508607925032
2011-01-31,-1134.293568445195
2011-02-28,-961.5847967383161
2011-03-31,-912.9379229516489
2011-04-30,-918.7665751366003
2011-05-31,-990.6059955546225
2011-06-30,-564.1594408280798
2011-07-31,-299.9282282826316
2011-08-31,-397.0849648063595
2011-09-30,-645.8458694610745
2011-10-31,-511.94044115865836
2011-11-30,-438.1192198370409
2011-12-31,-32.43256860823021
2012-01-31,-1791.8047895363125
2012-02-29,1215.235019734595
2012-03-31,403.8199135098257
2012-04-30,-220.33653274257085
2012-05-31,647.594843171566
2012-06-30,468.43283407913987
2012-07-31,442.4365909114422
2012-08-31,213.07563843615935
2012-09-30,399.65687418568996
2012-10-31,478.5779762516613
2012-11-30,699.1613991142658
2012-12-31,733.4389815112809
2013-01-31,1247.9596668774902
2013-02-28,1026.1296445437765
2013-03-31,1187.7748160693154
2013-04-30,1443.9521044734283
2013-05-31,1476.9565315810614
2013-06-30,1413.6258410652226
2013-07-31,1168.1569858042058
2013-08-31,947.636476047337
2013-09-30,787.1822391938185
2013-10-31,818.3797808758973
2013-11-30,645.6003992893675
2013-12-31,556.5633800842334
2014-01-31,627.6650236458518
2014-02-28,741.4813807795872
2014-03-31,1075.0766427446506
2014-04-30,1143.271144450584
2014-05-31,1432.8425969330128
2014-06-30,1229.7690681772656
