index,variable,value
condition,yr_built,-0.36141656224866225
grade,yr_built,0.4469632049266072
yr_built,yr_built,1.0
yr_renovated,yr_built,-0.22487351845188122
zipcode,yr_built,-0.3468691778548273
price,yr_renovated,0.1264337934408933
bedrooms,yr_renovated,0.01962060341557598
bathrooms,yr_renovated,0.05073897764805925
sqft_living,yr_renovated,0.05536292687380444
sqft_lot,yr_renovated,0.007643505013563346
floors,yr_renovated,0.006338400758647952
waterfront,yr_renovated,0.09288483674710032
view,yr_renovated,0.10391728817392419
condition,yr_renovated,-0.0606177865758937
grade,yr_renovated,0.014414280720814866
yr_built,yr_renovated,-0.22487351845188122
yr_renovated,yr_renovated,1.0
zipcode,yr_renovated,0.06435705728827955
price,zipcode,-0.053202854298292135
bedrooms,zipcode,-0.15710011149466704
bathrooms,zipcode,-0.20386627357604262
sqft_living,zipcode,-0.19943004289514654
sqft_lot,zipcode,-0.12957448631743546
floors,zipcode,-0.059120641671351
waterfront,zipcode,0.030284727603258628
view,zipcode,0.08482691692631834
condition,zipcode,0.003025523894877
grade,zipcode,-0.1848620929076474
yr_built,zipcode,-0.3468691778548273
yr_renovated,zipcode,0.06435705728827955
zipcode,zipcode,1.0
