date,value
1996-03-31,-338.0
1996-04-30,479.25
1996-05-31,301.25
1996-06-30,438.625
1996-07-31,331.5
1996-08-31,-12.375
1996-09-30,-254.75
1996-10-31,-47.625
1996-11-30,246.625
1996-12-31,542.875
1997-01-31,-550.625
1997-02-28,-734.125
1997-03-31,249.125
1997-04-30,627.25
1997-05-31,-192.375
1997-06-30,-1134.75
1997-07-31,-5767.799999999988
1997-08-31,-1247.4340909091115
1997-09-30,6755.5636363636295
1997-10-31,298.90909090911737
1997-11-30,-338.90909090908826
1997-12-31,-295.7272727272939
1998-01-31,388.63636363638216
1998-02-28,655.9090909090592
1998-03-31,-441.9999999999709
1998-04-30,-381.8181818181765
1998-05-31,-416.81818181820563
1998-06-30,-7925.060606060608
1998-07-31,8736.924242424255
1998-08-31,168.33333333334303
1998-09-30,-282.33333333334303
1998-10-31,-337.41666666665697
1998-11-30,223.9999999999709
1998-12-31,-552.9999999999709
1999-01-31,-5979.141025641031
1999-02-28,6332.211538461532
1999-03-31,915.0769230769365
1999-04-30,-342.61538461540476
1999-05-31,32.230769230780425
1999-06-30,-246.0769230769365
1999-07-31,53.538461538468255
1999-08-31,-20.769230769219575
1999-09-30,-50.0
1999-10-31,14.92307692306349
1999-11-30,-31.769230769219575
1999-12-31,34.076923076907406
2000-01-31,-4532.291325980041
2000-02-29,4199.042869322904
2000-03-31,-28.393528168351622
2000-04-30,308.25190617956105
2000-05-31,-71.0013441273768
2000-06-30,106.78443320811493
2000-07-31,-128.599070086726
2000-08-31,255.64788666984532
2000-09-30,-178.70533130891272
2000-10-31,16.38196023387718
2000-11-30,-349.1199475117901
2000-12-31,399.6135529479943
2001-01-31,-270.8127751777938
2001-02-28,19.61166751210112
2001-03-31,-616.8360310670978
2001-04-30,325.2011669893109
2001-05-31,2.620024169853423
2001-06-30,403.99717097124085
2001-07-31,1696.451959722879
2001-08-31,-1476.3575077183486
2001-09-30,28.022975008760113
2001-10-31,-63.513831164164
2001-11-30,-277.2733240524831
2001-12-31,142.69814958743518
2002-01-31,-285.7993987884256
2002-02-28,68.48876473892597
2002-03-31,-195.8016121366527
2002-04-30,181.58800453189178
2002-05-31,-90.14663009200012
2002-06-30,35.35422169184312
2002-07-31,295.10500481535564
2002-08-31,-110.7966510526021
2002-09-30,-14.049241625703871
2002-10-31,-210.40934250983992
2002-11-30,262.26641580526484
2002-12-31,150.5410152299155
2003-01-31,-274.10624288514373
2003-02-28,-118.52689307727269
2003-03-31,-99.88802081579342
2003-04-30,485.7607640141214
2003-05-31,214.12467082645162
2003-06-30,111.31748611087096
2003-07-31,89.07905195225612
2003-08-31,388.9053087643697
2003-09-30,97.56535994735896
2003-10-31,227.08411972786416
2003-11-30,-225.31875295750797
2003-12-31,-77.1966063529544
2004-01-31,-443.02994355143164
2004-02-29,26.442059106280794
2004-03-31,72.67164564979612
2004-04-30,395.83341398395714
2004-05-31,-144.04367972406908
2004-06-30,228.43560921339667
2004-07-31,275.06814567247056
2004-08-31,367.34267393968184
2004-09-30,-259.27977104243473
2004-10-31,-336.7112093458709
2004-11-30,-57.16922503631213
2004-12-31,325.9517947517743
2005-01-31,-18132.62857528444
2005-02-28,15887.695922211016
2005-03-31,-6511.6021871945995
2005-04-30,5773.570511882397
2005-05-31,4941.696251014655
2005-06-30,1217.4590661511756
2005-07-31,-4462.000711280853
2005-08-31,2393.697043699416
2005-09-30,23.09125984905404
2005-10-31,-27.97597604271141
2005-11-30,-237.6023033086385
2005-12-31,-93.80630538193509
2006-01-31,-156.0818373990769
2006-02-28,43.16322810505517
2006-03-31,-323.9165661370207
2006-04-30,146.66444179290556
2006-05-31,-76.99559272214537
2006-06-30,-6.250743153184885
2006-07-31,-477.8494614355441
2006-08-31,-242.4709550633852
2006-09-30,-57.24458116298774
2006-10-31,-156.84580582898343
2006-11-30,-141.5477966569597
2006-12-31,-2.3523297140200157
2007-01-31,234.8934000559966
2007-02-28,-66.12154239314259
2007-03-31,158.61984343617223
2007-04-30,83.44712325750152
2007-05-31,-130.0190222999663
2007-06-30,-136.61561888517463
2007-07-31,-142.3061772461224
2007-08-31,-10.399803854787024
2007-09-30,-21.91272742356523
2007-10-31,-348.62732403862174
2007-11-30,-125.63549472898012
2007-12-31,-4914.31501805209
2008-01-31,4057.577028426924
2008-02-29,-115.56932667273213
2008-03-31,-14.418051044893218
2008-04-30,-384.3852316845732
2008-05-31,-124.49699490715284
2008-06-30,-389.4813150194532
2008-07-31,238.27546566410456
2008-08-31,-412.59644598246086
2008-09-30,-146.0483798777277
2008-10-31,-3297.8140373496863
2008-11-30,3115.9383817622147
2008-12-31,-93.66904666338814
2009-01-31,-1395.545549933624
2009-02-28,2281.6782114821544
2009-03-31,-875.4300803414662
2009-04-30,612.4293536332843
2009-05-31,-379.11974603898125
2009-06-30,-223.9122205050371
2009-07-31,75.28833938293974
2009-08-31,498.59551891166484
2009-09-30,557.9204396489367
2009-10-31,393.3121287806134
2009-11-30,-23.44664941643714
2009-12-31,237.144831301237
2010-01-31,-20.74361913575558
2010-02-28,-185.79177016980248
2010-03-31,-144.89129769205465
2010-04-30,286.9791465702292
2010-05-31,32.1925041913928
2010-06-30,25.969595161266625
2010-07-31,-509.7294570898521
2010-08-31,-75.7544824326178
2010-09-30,-309.7274902772042
2010-10-31,130.0787561875186
2010-11-30,58.06675844237907
2010-12-31,-212.44300928071607
2011-01-31,-112.44270765269175
2011-02-28,172.7087717068789
2011-03-31,48.64687378666713
2011-04-30,-5.828652184951352
2011-05-31,-71.8394204180222
